semestre,curso,achou_util,feedback,sentimento,sentimento_predito
2021.2,Ciência da Computação,SIM,"Essa transição de Ensino Médio para Universidade é muito brusco. Entretanto, acho que consegui aproveitar muita coisa. Por sorte, tive bons amigos que me ajudaram em várias dúvidas, mas não consegui ser o aluno exemplar que gostaria de ser. Muitas matérias tiveram notas baixas e tive que optar por desistir de una delas, pois o rendimento estava realmente muito baixo. Meu maior foco ainda é o conhecimento, mas adoraria receber uma boa avaliação considerando o tanto que aprendi e não pude reproduzir isso esse semestre. Como trabalho, moro sozinho e me sustento, foi uma experiência muito louca acredito que estarei mais adaptado para o próximo semestre.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Sinceramente achei bastante cansativo mentalmente. O conteúdo em si não foi o mais desafiador, mas o volume de trabalho e os curtos prazos de entrega para tudo são extremamente sufocantes e raramente contribuem com um aprendizado sólido. Com excessão da matéria de APC (que teve uma abordagem prática e de avaliações excelentes na minha opinião) as outras matérias deixaram uma sensação de muito trabalho feito para pouco aprendizado consolidado.",,Negativo e Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"Para ser bem sincero, ainda me sinto um pouco no escuro, mas esta disciplina deu para esclarecer muita coisa que eu tinha dúvida sobre a UnB. Esses últimos dois anos de ensino remoto têm sido difíceis para mim, e acho que isso tem afetado diretamente no meu desempenho, o que por consequência me desmotiva. Mas vamos seguindo.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"O meu primeiro semestre no curso foi bem puxado, aconteceu um choque de realidade ao sair do ensino médio e entrar diretamente na universidade, onde você realmente precisa estudar e colocar esforço se você quiser aprender e passar nas matérias. Fora isso, o primeiro semestre foi bem proveitoso, consegui aprender bastante coisa de programação, como um computador realmente funciona e como a matemática rege o universo (essa parte foi um pouquinho exagerada, mas realmente me ajudou a compreender alguns fenômenos naturais).",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Eu já venho de outro curso em outra universidade, consegui aproveitar calculo 1 que ajudou bastante, então por já ter certa experiência com ensino superior esse semestre foi tranquilo pra mim, consegui levar todas as matérias sem muitas dificuldades, não deixei assunto acumular quase nenhuma semana.",,Negativo
2021.2,Ciência da Computação,SIM,"Está sendo uma experiência excelente, apesar do nível de cobrança das matérias, tenho me adaptado bem e pretendo continuar cada vez mais motivado",,Positivo
2021.2,Ciência da Computação,SIM,"O primeiro semestre para mim foi uma experiência bem legal apesar de ter sido a distância. Sem dúvidas, como calouro, se tivesse sido no presencial teria sido bem mais interessante mas devido as circunstâncias, tivemos que nos adaptar ao ensino remoto. Mas que não deixou a desejar a cerca dos conteúdos, em todas as disciplinas que eu cursei, deu pra sentir a diferença entre o ensino médio e o superior.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Por ter sido remoto, muito da experiência de ser calouro foi perdida, está disciplina teria tido um proveito ainda maior se fosse presencial, mas acredito que foi feito o melhor que o departamento pode dado as condições adversas, a iniciativa inclusive poderia se estender para mais cursos dentro da universidade, inclusive com palestras que englobassem não só os alunos da disciplina de Computação, mas outros departamentos.",,Negativo
2021.2,Licenciatura em Computação (noturno),SIM,"Gostei muito desse semestre, apesar de estar indo muito mal nas notas. Sempre tive o sonho de cursar na UNB e agora estou cursando na minha área de trabalho. Eu sou apenado do sistema penitenciário, com todas as dificuldades de estudo e acesso a informação, mas gosto muito do ambiente universitário e mais ainda, numa das melhores universidades do Brasil e do mundo.",,Positivo
2021.2,Ciência da Computação,SIM,"Apesar de não ter sido meu primeiro semestre como universitário, foi um semestre muito corrido, puxado e estressante. Acho que talvez eu não tenha me organizado direito e acabei tendo algumas dificuldades. Talvez minha principal dificuldade tenha sido o EAD. Eu prefiro o ensino presencial, eu consigo ter mais foco, consigo me dedicar mais e é algo mais dinâmico",,Negativo e Positivo
